                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                  1.216,                 1.1304,                 1.7355,                0.83361,                0.73729,                0.83666,                0.58215,                 1.1709,                 1.0453,                 1.8551,               0.001505,               0.001505,               0.001505
                     53,                 1.2197,                 1.1645,                 1.7597,                0.87125,                0.74554,                0.84986,                0.62521,                 1.0883,                 1.0071,                 1.7864,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.2255,                 1.1638,                 1.7637,                0.89428,                0.77119,                0.87106,                 0.6079,                 1.1168,                0.99284,                 1.7911,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.2054,                 1.1218,                 1.7296,                0.79938,                0.79661,                 0.8778,                0.63498,                 1.0673,                0.98482,                 1.7759,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.1772,                 1.0965,                 1.7055,                0.85756,                0.76535,                0.85432,                0.59209,                 1.0979,                 1.0034,                 1.8119,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.1456,                 1.1128,                 1.6867,                0.85342,                0.80508,                0.87372,                0.61898,                 1.1064,                0.99724,                 1.8027,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.1528,                 1.0894,                  1.681,                0.92547,                0.73668,                0.86256,                0.63015,                 1.1097,                0.94753,                 1.8015,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.1458,                 1.0495,                 1.6802,                0.93671,                0.75255,                0.87981,                0.61841,                 1.1024,                0.90468,                 1.8114,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.1409,                 1.0749,                 1.6663,                0.91426,                0.73729,                0.86784,                0.60218,                 1.0987,                 1.0145,                 1.7903,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.1243,                 1.0439,                  1.658,                0.86111,                0.80508,                0.87341,                0.61782,                 1.0672,                0.95029,                 1.7445,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.1373,                 1.0373,                 1.6814,                0.77753,                0.79973,                0.85056,                0.59329,                 1.0904,                0.99168,                 1.8093,               0.001406,               0.001406,               0.001406
                     63,                 1.1454,                 1.0687,                 1.6786,                0.76732,                0.66102,                0.79202,                0.53381,                 1.1599,                  1.167,                 1.8605,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.1209,                 1.0372,                 1.6754,                0.82622,                0.80584,                0.87189,                0.61428,                 1.1059,                 0.9848,                 1.8146,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.1416,                 1.0575,                 1.6798,                0.90628,                0.77966,                0.89066,                0.63045,                 1.0815,                0.91378,                 1.7775,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.1495,                  1.025,                 1.6787,                0.88588,                0.76271,                0.87312,                0.61209,                 1.1026,                 0.9374,                 1.7853,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.1382,                  1.028,                 1.6704,                0.89961,                0.75946,                0.87714,                0.61155,                 1.0788,                0.96696,                 1.7939,              0.0013565,              0.0013565,              0.0013565
                     68,                  1.098,                 1.0188,                 1.6267,                0.92888,                0.77487,                0.86023,                0.60529,                 1.1356,                0.94963,                 1.8514,              0.0013466,              0.0013466,              0.0013466
